"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"3","Unturned","Jul 7, 2017","Free","77% (91%)","32,727,993 ±161,809","26,277,162 ±146,079","20:46 (02:40)","Smartly Dressed Games","Smartly Dressed Games"
"7","Heroes & Generals","Oct 18, 2016","Free","23% (66%)","15,750,082 ±114,459","11,175,000 ±96,908","12:48 (00:51)","Reto-Moto","Reto-Moto"
"6","Robocraft","Aug 24, 2017","Free","32% (72%)","13,418,063 ±105,923","9,778,041 ±90,790","19:12 (02:19)","Freejam","Freejam"
"106","ARK: Survival Of The Fittest","Aug 29, 2017","Free","21% (64%)","7,408,637 ±79,235","1,958,401 ±40,983","03:44 (00:24)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"5","Don't Starve Together","Apr 21, 2016","$14.99","95% (96%/83%)","6,782,336 ±75,865","5,443,030 ±68,063","25:52 (08:40)","Klei Entertainment","Klei Entertainment"
"2","ARK: Survival Evolved","Aug 29, 2017","$59.99","24% (67%/68%)","5,487,170 ±68,335","5,251,829 ±66,871","134:30 (17:47)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"16","Creativerse","May 8, 2017","Free","47% (80%)","4,265,422 ±60,330","3,615,474 ±55,583","08:55 (01:21)","Playful Corporation","Playful Corporation"
"9","Last Man Standing","Mar 29, 2017","Free","21% (64%)","3,782,353 ±56,841","2,788,514 ±48,859","06:36 (01:13)","Free Reign Entertainment, Free Reign Entertainment","Free Reign Entertainment"
"359","Magicka: Wizard Wars","Apr 28, 2015","Free","N/A (N/A/69%)","3,669,749 ±55,996","2,008,171 ±41,498","03:50 (00:48)","Paradox North","Paradox Interactive"
"4","Arma 3","Sep 12, 2013","$39.99","74% (90%/74%)","3,609,169 ±55,535","3,514,807 ±54,810","182:14 (33:59)","Bohemia Interactive","Bohemia Interactive"
"22","Dungeon Defenders II","Jun 20, 2017","Free","35% (74%)","3,282,393 ±52,981","2,430,210 ±45,630","13:06 (01:59)","Trendy Entertainment","Trendy Entertainment"
"10","Starbound","Jul 22, 2016","$14.99","74% (90%/81%)","3,026,333 ±50,886","2,938,052 ±50,143","55:48 (25:56)","Chucklefish","Chucklefish"
"15","Fishing Planet","Aug 28, 2017","Free","37% (75%)","2,794,369 ±48,910","1,942,636 ±40,818","12:21 (00:43)","Fishing Planet LLC","Fishing Planet LLC"
"138","Gear Up","Jan 28, 2015","Free","35% (74%)","2,504,303 ±46,316","1,769,902 ±38,968","02:43 (00:23)","Doctor Entertainment AB","Doctor Entertainment AB"
"19","Prison Architect","Oct 6, 2015","$29.99","86% (93%/83%)","2,450,703 ±45,821","2,248,693 ±43,901","29:05 (10:45)","Introversion Software","Introversion Software"
"67","Fractured Space","Sep 22, 2016","Free","32% (72%/79%)","2,377,511 ±45,135","1,346,513 ±34,005","05:31 (00:38)","Edge Case Games Ltd.","Edge Case Games Ltd."
"68","Line of Sight","Jan 31, 2017","Free","12% (55%)","2,178,878 ±43,218","1,722,609 ±38,446","03:16 (00:41)","BlackSpot Entertainment","BlackSpot Entertainment"
"136","Red Crucible: Firestorm","Dec 22, 2015","Free","15% (59%)","2,006,145 ±41,477","1,483,214 ±35,684","03:08 (00:25)","Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC"
"11","Kerbal Space Program","Apr 27, 2015","$39.99","97% (97%/88%)","1,954,122 ±40,938","1,878,002 ±40,136","75:52 (15:35)","Squad","Squad"
"112","sZone-Online","Dec 29, 2015","Free","4% (40%)","1,918,539 ±40,565","1,150,358 ±31,437","04:35 (00:21)","Cybertime System","Cybertime System"
"85","Ghost in the Shell: Stand Alone Complex - First Assault Online","Jul 28, 2016","Free","22% (65%)","1,891,965 ±40,284","1,391,780 ±34,570","07:01 (00:59)","Neople","Nexon"
"578","Rise of Incarnates","Jun 30, 2015","Free","N/A (N/A/67%)","1,866,516 ±40,014","793,179 ±26,115","01:04 (00:15)","BANDAI NAMCO Studio","BANDAI NAMCO Entertainment"
"25","SpeedRunners","Apr 19, 2016","$14.99","89% (94%/84%)","1,659,776 ±37,741","1,436,371 ±35,118","10:59 (04:24)","DoubleDutch Games","tinyBuild"
"13","Killing Floor 2","Nov 18, 2016","$29.99","65% (87%/75%)","1,607,078 ±37,139","1,463,396 ±35,446","36:38 (12:25)","Tripwire Interactive","Tripwire Interactive"
"166","Strife","May 22, 2015","Free","39% (76%)","1,595,367 ±37,004","849,481 ±27,024","08:38 (01:15)","S2 Games","S2 Games"
"12","Darkest Dungeon","Jan 19, 2016","$24.99","59% (85%/84%)","1,564,514 ±36,646","1,491,772 ±35,787","31:50 (13:49)","Red Hook Studios","Red Hook Studios"
"37","Plague Inc: Evolved","Feb 18, 2016","$14.99","86% (93%)","1,435,695 ±35,110","1,300,571 ±33,422","11:11 (05:31)","Ndemic Creations","Ndemic Creations"
"14","Tabletop Simulator","Jun 5, 2015","$19.99","86% (93%)","1,410,247 ±34,798","1,299,670 ±33,410","20:34 (05:25)","Berserk Games","Berserk Games"
"93","Divinity: Original Sin (Classic)","Jun 30, 2014","Free","74% (90%/87%)","1,401,464 ±34,690","902,630 ±27,855","32:59 (12:31)","Larian Studios","Larian Studios"
"31","Broforce","Oct 15, 2015","$14.99","95% (96%/83%)","1,396,959 ±34,634","1,221,748 ±32,396","10:54 (05:47)","Free Lives","Devolver Digital"
"43","Tiger Knight: Empire War","Oct 24, 2016","Free","43% (78%)","1,298,094 ±33,390","967,490 ±28,836","14:24 (01:18)","NetDragon Websoft Holdings Limited","Oasis Games"
"242","The Way of Life Free Edition","May 31, 2016","Free","37% (75%)","1,288,635 ±33,268","832,140 ±26,747","00:36 (00:11)","Fabio Ferrara, Davide Caio, Nicolò Azzolini, Antonio Carcagnì, Luigi Di Guida, Tommaso Vita","CyberCoconut"
"77","Spooky's Jump Scare Mansion","Jul 28, 2015","Free","82% (92%)","1,216,118 ±32,321","874,929 ±27,425","01:31 (00:30)","Lag Studios","Lag Studios"
"17","The Long Dark","Aug 1, 2017","$34.99","82% (92%)","1,128,963 ±31,144","1,042,709 ±29,934","23:40 (06:14)","Hinterland Studio Inc.","Hinterland Studio Inc."
"21","Grim Dawn","Feb 25, 2016","$24.99","82% (92%/83%)","1,043,159 ±29,940","955,779 ±28,662","61:21 (19:53)","Crate Entertainment","Crate Entertainment"
"39","Faeria","Mar 8, 2017","Free","57% (84%/80%)","992,713 ±29,209","589,817 ±22,524","12:01 (01:33)","Abrakam SA","Abrakam SA"
"103","Who's Your Daddy","May 13, 2016","$4.99","37% (75%)","934,159 ±28,336","863,894 ±27,252","02:47 (01:24)","Evil Tortilla Games","Evil Tortilla Games"
"203","Hunger Dungeon","Dec 6, 2016","Free","33% (73%)","881,460 ±27,527","753,993 ±25,462","00:57 (00:19)","Buka Game Studio","PQube Limited"
"8","Crossout","Jul 26, 2017","Free","21% (64%)","880,560 ±27,513","727,644 ±25,014","13:44 (02:22)","Targem Games","Gaijin Entertainment"
"34","Verdun","Apr 28, 2015","$24.99","62% (86%/70%)","870,200 ±27,351","719,537 ±24,875","14:05 (04:03)","M2H, Blackmill Games","Blackmill Games, M2H"
"20","Slime Rancher","Aug 1, 2017","$19.99","92% (95%/81%)","865,246 ±27,273","798,809 ±26,207","16:41 (08:34)","Monomi Park","Monomi Park"
"23","Crypt of the NecroDancer","Apr 23, 2015","$14.99","97% (97%/87%)","862,768 ±27,234","757,146 ±25,516","12:10 (03:56)","Brace Yourself Games","Brace Yourself Games, Klei Entertainment"
"74","Atlas Reactor","Oct 4, 2016","Free","49% (81%/81%)","847,679 ±26,995","570,900 ±22,161","10:05 (00:58)","Trion Worlds","Trion Worlds"
"192","Deadbreed","Apr 14, 2016","Free","17% (61%)","803,314 ±26,281","447,937 ±19,632","03:37 (02:40)","Deadbreed AB","Deadbreed AB"
"26","DiRT Rally","Dec 7, 2015","$59.99","74% (90%/86%)","732,148 ±25,091","586,439 ±22,460","19:44 (05:39)","Codemasters Racing Studio, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
"109","Warhammer 40,000 : Eternal Crusade - Free Edition","Sep 23, 2016","Free","9% (50%)","727,419 ±25,010","477,214 ±20,263","13:19 (01:09)","Behaviour Digital Inc.","Behaviour Digital Inc."
"174","TOXIKK","Sep 10, 2016","Free","39% (76%)","719,086 ±24,867","444,108 ±19,548","01:07 (00:23)","Reakktor Studios","Reakktor Studios"
"1","Divinity: Original Sin 2","Sep 14, 2017","$44.99","86% (93%/95%)","648,596 ±23,618","614,140 ±22,983","33:14 (22:49)","Larian Studios","Larian Studios"
"42","Particula","Feb 2, 2015","$0.99","22% (65%)","646,570 ±23,582","417,759 ±18,960","04:37 (05:09)","Microblast Games","Microblast Games"
"45","LEGO Worlds","Mar 7, 2017","$20.09","43% (78%)","622,923 ±23,147","604,005 ±22,793","14:26 (04:24)","TT Games, Traveller's Tales","Warner Bros. Interactive Entertainment"
"28","Poly Bridge","Jul 12, 2016","$11.99","71% (89%/73%)","600,627 ±22,729","463,476 ±19,969","07:21 (03:20)","Dry Cactus","Dry Cactus"
"50","Portal Knights","May 18, 2017","$19.99","51% (82%/72%)","599,051 ±22,700","581,034 ±22,356","17:20 (08:39)","Keen Games","505 Games"
"173","I am Bread","Apr 9, 2015","$12.99","45% (79%/60%)","593,195 ±22,589","466,404 ±20,032","02:48 (01:08)","Bossa Studios","Bossa Studios"
"95","Victor Vran ARPG","Jul 24, 2015","$19.99","71% (89%/75%)","591,619 ±22,559","351,548 ±17,394","09:45 (04:20)","Haemimont Games","EuroVideo Medien"
"57","Youtubers Life","Feb 2, 2017","$24.99","37% (75%/63%)","576,305 ±22,265","568,423 ±22,113","13:35 (08:18)","U-Play Online","U-Play Online"
"53","Flesh Eaters","May 3, 2016","$1.99","37% (75%)","574,053 ±22,222","397,490 ±18,495","03:16 (03:28)","S.C. 16 BIT NIGHTS S.R.L.","S.C. 16 BIT NIGHTS S.R.L."
"238","Pool Nation FX Lite","Dec 7, 2015","Free","20% (63%)","573,828 ±22,217","287,139 ±15,721","02:24 (00:12)","Cherry Pop Games","Cherry Pop Games"
"125","Viscera Cleanup Detail","Oct 23, 2015","$12.99","86% (93%)","568,648 ±22,117","495,005 ±20,637","08:20 (04:07)","RuneStorm","RuneStorm"
"35","Galactic Civilizations III","May 14, 2015","$14.99","39% (76%/81%)","554,009 ±21,831","376,096 ±17,990","44:45 (08:34)","Stardock Entertainment","Stardock Entertainment"
"89","Reign Of Kings","Dec 15, 2015","$19.99","15% (59%)","553,334 ±21,817","524,282 ±21,238","42:15 (12:18)","Code}{atch","Code}{atch"
"197","Trine 3: The Artifacts of Power","Aug 20, 2015","$21.99","24% (67%)","553,334 ±21,817","270,474 ±15,258","04:19 (03:01)","Frozenbyte","Frozenbyte"
"71","Move or Die","Jan 21, 2016","$14.99","65% (87%/80%)","550,181 ±21,755","469,557 ±20,100","05:08 (02:15)","Those Awesome Guys","Those Awesome Guys"
"18","Assetto Corsa","Dec 19, 2014","$29.99","62% (86%/85%)","540,497 ±21,563","519,102 ±21,133","55:51 (09:47)","Kunos Simulazioni","Kunos Simulazioni"
"38","Nuclear Throne","Dec 5, 2015","$11.99","95% (96%/88%)","528,561 ±21,324","379,474 ±18,071","25:07 (05:10)","Vlambeer","Vlambeer"
"236","Endorlight","Apr 26, 2016","$2.99","10% (52%)","515,499 ±21,059","349,071 ±17,332","04:18 (04:26)","Unika Games","Unika Games"
"101","How to Survive 2","Sep 8, 2016","$14.99","30% (71%/69%)","512,797 ±21,004","451,540 ±19,711","09:57 (04:10)","Eko Software","505 Games"
"27","Lost Castle","Aug 31, 2016","$9.99","77% (91%)","507,166 ±20,888","489,150 ±20,514","19:28 (11:37)","Hunter Studio","Another Indie, X.D. Network Inc."
"72","FaceRig","Jul 7, 2015","$14.99","54% (83%)","486,447 ±20,458","422,714 ±19,072","10:32 (01:34)","Holotech Studios","Holotech Studios"
"228","Robot Roller-Derby Disco Dodgeball","Feb 19, 2015","$9.99","82% (92%)","486,222 ±20,453","284,887 ±15,659","03:19 (01:26)","Erik Asmussen","82 Apps"
"96","Crush Crush","Oct 18, 2016","Free","68% (88%)","482,844 ±20,382","378,798 ±18,055","25:46 (03:29)","Sad Panda Studios","Sad Panda Studios"
"110","Mini Metro","Nov 6, 2015","$9.99","95% (96%/77%)","478,340 ±20,287","372,042 ±17,893","09:16 (04:02)","Dinosaur Polo Club","Dinosaur Polo Club"
"55","Blockstorm","May 21, 2015","$4.99","45% (79%)","477,889 ±20,277","366,187 ±17,752","05:13 (02:53)","GhostShark","IndieGala"
"115","ONRAID","Apr 18, 2017","Free","43% (78%)","474,286 ±20,201","387,356 ±18,257","02:10 (00:29)","Pragmatix Ltd","Pragmatix Ltd"
"177","Galactic Junk League","Jul 26, 2017","Free","24% (67%)","470,908 ±20,129","355,827 ±17,499","03:25 (00:39)","Pixel Federation","Pixel Federation"
"424","Street Warriors Online","Dec 16, 2016","$1.99","16% (60%)","470,458 ±20,119","304,705 ±16,194","00:57 (00:20)","Crazy Rocks Studios","Crazy Rocks Studios"
"128","Layers of Fear","Feb 15, 2016","$19.99","77% (91%/72%)","464,827 ±19,998","243,449 ±14,476","04:24 (03:03)","Bloober Team SA","Aspyr"
"54","Lup","Apr 1, 2016","$0.99","8% (48%)","447,712 ±19,627","320,019 ±16,596","03:29 (03:30)","Leo B","Back To Basics Gaming"
"402","Vertiginous Golf","May 6, 2015","$9.99","28% (70%/63%)","447,486 ±19,622","139,854 ±10,973","00:47 (00:17)","Kinelco & Lone Elk Creative","Surprise Attack"
"63","Offworld Trading Company","Apr 28, 2016","$19.99","35% (74%/78%)","444,108 ±19,548","288,490 ±15,758","08:56 (04:07)","Mohawk Games","Stardock Entertainment"
"205","Invisible, Inc.","May 12, 2015","$19.99","86% (93%/82%)","441,406 ±19,489","269,348 ±15,226","11:07 (03:29)","Klei Entertainment","Klei Entertainment"
"69","Princess.Loot.Pixel.Again","Apr 15, 2016","$4.99","37% (75%)","440,955 ±19,479","309,885 ±16,331","05:41 (06:31)","EfimovMax","EfimovMax"
"295","Victory: The Age of Racing","Feb 12, 2016","Free","6% (43%)","439,604 ±19,449","309,885 ±16,331","03:07 (00:24)","Vae Victis Games","Vae Victis Games"
"46","Life is Feudal: Your Own","Nov 17, 2015","$39.99","22% (65%/63%)","438,703 ±19,429","402,220 ±18,604","75:56 (09:27)","Bitbox Ltd.","Bitbox Ltd."
"139","The Four Kings Casino and Slots","Jun 1, 2015","Free","28% (70%)","423,840 ±19,097","259,213 ±14,937","07:47 (00:37)","Digital Leisure Inc.","Digital Leisure Inc."
"83","Kivi, Toilet and Shotgun","Jan 15, 2016","$0.99","10% (51%)","422,939 ±19,077","313,263 ±16,420","03:24 (03:30)","16bit Nights","Back To Basics Gaming"
"86","Armello","Sep 1, 2015","$19.99","57% (84%/75%)","422,488 ±19,067","284,211 ±15,641","18:44 (05:26)","League of Geeks","League of Geeks"
"334","Gunscape","Mar 1, 2016","Free","26% (68%)","393,887 ±18,411","242,773 ±14,456","01:10 (00:13)","Blowfish Studios","Blowfish Studios"
"117","The Flame in the Flood","Feb 24, 2016","$14.99","43% (78%/73%)","390,959 ±18,342","172,734 ±12,195","03:57 (01:22)","The Molasses Flood","The Molasses Flood, Curve Digital"
"98","War for the Overworld","Apr 2, 2015","$29.99","43% (78%/65%)","390,509 ±18,332","258,988 ±14,931","12:42 (05:34)","Brightrock Games","Brightrock Games"
"207","Windward","May 12, 2015","$9.99","47% (80%/61%)","383,077 ±18,156","263,267 ±15,054","11:06 (03:25)","Tasharen Entertainment Inc.","Tasharen Entertainment Inc."
"422","Narcissu 1st & 2nd","Apr 24, 2015","Free","89% (94%)","378,573 ±18,049","156,519 ±11,608","01:30 (00:14)","stage-nana","Sekai Project"
"1002","Sins of a Dark Age","May 8, 2015","Free","N/A (N/A)","372,718 ±17,909","154,492 ±11,533","03:37 (00:42)","Ironclad Games","Ironclad Games"
"186","Prominence Poker","Dec 12, 2016","Free","41% (77%)","371,592 ±17,882","207,641 ±13,370","09:32 (01:07)","Pipeworks Studio","505 Games"
"84","Neon Hardcorps","May 30, 2016","$0.99","5% (42%)","355,377 ±17,488","262,591 ±15,034","03:29 (03:30)","Sergey Dovganovskiy","Back To Basics Gaming"
"315","TIS-100","Jul 20, 2015","$6.99","97% (97%)","347,495 ±17,293","173,409 ±12,218","08:50 (02:00)","Zachtronics","Zachtronics"
"964","StarForge","Sep 22, 2014","$9.99","0% (14%)","338,261 ±17,062","307,633 ±16,272","05:22 (01:36)","Code}{atch","Code}{atch"
"122","Grind Zones","Jul 19, 2016","$4.99","7% (47%)","336,910 ±17,028","243,899 ±14,490","03:37 (04:00)","Odnako Games","KishMish Games"
"211","Cloud Pirates","Apr 19, 2017","Free","33% (73%)","333,306 ±16,937","261,916 ±15,015","06:20 (00:49)","Allods Team","my.com"
"70","Turmoil","Jun 2, 2016","$9.99","71% (89%/73%)","327,226 ±16,782","263,042 ±15,047","09:10 (05:18)","Gamious","Gamious"
"409","SolForge","Jul 25, 2016","Free","23% (66%)","322,722 ±16,666","148,411 ±11,304","50:16 (01:34)","Stone Blade Entertainment","Stone Blade Entertainment"
"140","RUNNING WITH RIFLES","Apr 2, 2015","$14.99","71% (89%/78%)","319,118 ±16,573","300,201 ±16,074","10:45 (04:04)","Osumia Games","Osumia Games"
"183","Sheltered","Mar 15, 2016","$14.99","45% (79%)","316,416 ±16,502","235,341 ±14,233","14:22 (04:45)","Unicube, Team 17 Digital Ltd","Team17 Digital Ltd"
"99","Games of Glory","Apr 25, 2017","Free","13% (56%)","314,614 ±16,455","124,540 ±10,355","03:36 (00:16)","Lightbulb Crew","Lightbulb Crew"
"111","Shoppe Keep","May 20, 2016","$9.99","39% (76%)","311,236 ±16,367","165,752 ±11,946","07:10 (03:25)","Arvydas Žemaitis","Excalibur Games"
"157","Under Zero","Mar 2, 2017","$3.99","N/A (N/A)","309,209 ±16,314","207,641 ±13,370","03:12 (03:30)","Dagestan Technology","Dagestan Technology"
"685","Skara - The Blade Remains","Oct 27, 2014","Free","17% (61%)","308,534 ±16,296","124,540 ±10,355","01:16 (00:21)","8-Bit Studio","8-Bit Studio"
