,appid,average_2weeks,average_forever,developer,median_2weeks,median_forever,name,negative,owners,owners_variance,players_2weeks,players_2weeks_variance,players_forever,players_forever_variance,positive,price,publisher,score_rank,userscore
107410.0,107410,857,11409,Bohemia Interactive,260,1992,Arma 3,9371,3647315,58538,436955,20329,3538200,57662,87484,3999,Bohemia Interactive,74,90
200110.0,200110,41,416,Psyonix,78,59,Nosgoth,3860,4309676,63588,1732,1280,2307253,46623,11015,0,Square Enix,,0
200150.0,200150,128,467,"Olde Sküül, Sculptured Software",163,353,Battle Chess: Game of Kings,95,8907,2903,1484,2055,8165,2780,88,2999,Interplay Entertainment Corp.,8,47
202090.0,202090,1,217,Paradox North,1,49,Magicka: Wizard Wars,1708,3587190,58057,1480,1448,1944278,42815,9721,0,Paradox Interactive,,0
207140.0,207140,137,742,DoubleDutch Games,35,258,SpeedRunners,1254,1630788,39225,64826,7833,1409094,36470,19003,1499,tinyBuild,85,94
211820.0,211820,478,3280,Chucklefish,110,1455,Starbound,6911,3137864,54325,154147,12078,3030480,53393,66632,1499,Chucklefish,74,91
214420.0,214420,36,158,Doctor Entertainment AB,9,23,Gear Up,2126,2461399,48148,11629,3317,1753512,40669,6140,0,Doctor Entertainment AB,34,74
215550.0,215550,79,146,stealth.gg,102,143,Zombie Playground,137,49733,6861,2227,1451,26722,5029,149,499,stealth.gg,10,54
219990.0,219990,919,3884,Crate Entertainment,284,1095,Grim Dawn,1641,1138904,32796,127177,10971,1035975,31283,19455,2499,Crate Entertainment,81,91
220200.0,220200,477,4161,Squad,136,896,Kerbal Space Program,1839,1956897,42953,128662,11034,1878462,42087,42998,3999,Squad,92,95
223830.0,223830,338,1987,Goldhawk Interactive,155,567,Xenonauts,231,248416,15331,5938,2370,167260,12581,2104,2499,Goldhawk Interactive,74,89
224500.0,224500,286,2051,Robotronic Games,331,152,Gnomoria,619,282314,16343,4206,1995,240746,15092,2456,1499,Robotronic Games,44,79
224740.0,224740,278,1051,"Gaslamp Games, Inc.",278,385,Clockwork Empires,361,23506,4717,742,1027,22516,4616,350,2999,"Gaslamp Games, Inc.",8,47
226100.0,226100,20,439,Q-Games Ltd.,24,186,PixelJunk Nom Nom Galaxy,161,68290,8039,1110,1254,49238,6826,436,999,Q-Games Ltd.,33,73
226860.0,226860,878,2516,Stardock Entertainment,232,449,Galactic Civilizations III,1655,603473,23886,14846,3748,409738,19686,5357,1499,Stardock Entertainment,38,76
227060.0,227060,147,627,Longbow Games,149,178,Hegemony Rome: The Rise of Caesar,131,70269,8155,1480,1448,53692,7129,220,1499,Kasedo Games,18,61
227160.0,227160,478,195,Badland Studio,478,76,Kinetic Void,1033,131383,11150,745,1030,115548,10457,309,1999,Badland Studio,1,22
227680.0,227680,14,267,Code}{atch,14,85,StarForge,7920,335758,17822,738,1444,306561,17030,1340,999,Code}{atch,0,14
227860.0,227860,511,966,Sauropod Studio,309,225,Castle Story,2130,231096,14787,7918,2737,223179,14532,2190,2499,Sauropod Studio,9,52
227940.0,227940,338,760,Reto-Moto,51,51,Heroes & Generals,27442,15851135,120473,293943,16676,11263846,102052,55040,0,Reto-Moto,23,66
228880.0,228880,13,507,"Oxide Games, Stardock Entertainment",20,182,Ashes of the Singularity,565,121239,10711,1494,2069,98723,9666,1097,1999,Stardock Entertainment,23,64
229580.0,229580,15,127,HyperSloth,30,67,Dream,354,91795,9321,1475,2043,69032,8083,540,899,Mastertronic,16,60
230070.0,230070,283,863,Iron Tower Studio,452,267,The Age of Decadence,269,86599,9053,1485,1185,69032,8083,1365,2999,Iron Tower Studio,53,82
230190.0,230190,346,801,Brightrock Games,273,312,War for the Overworld,751,414192,19793,10639,3173,279097,16249,3132,2999,Brightrock Games,46,79
230230.0,230230,271,2031,Larian Studios,235,821,Divinity: Original Sin (Classic),923,1446950,36955,5938,2370,913004,29371,10320,0,Larian Studios,77,90
232090.0,232090,349,2216,Tripwire Interactive,114,722,Killing Floor 2,6522,1687944,39904,162559,12403,1537014,38084,44551,2999,Tripwire Interactive,64,88
232450.0,232450,104,3733,Stone Blade Entertainment,104,125,SolForge,379,327098,17591,738,1444,153652,12058,761,0,Stone Blade Entertainment,23,66
233450.0,233450,353,1816,Introversion Software,123,669,Prison Architect,1804,2419089,47734,84867,8962,2208777,45622,27121,2999,Introversion Software,85,93
233680.0,233680,32,1161,Bleank,54,225,Black Ink,33,23258,4692,1117,1262,23011,4667,294,5999,Bleank,70,90
235380.0,235380,496,1238,Nival,230,339,Blitzkrieg 3,1454,65321,7863,5443,2270,62599,7697,1789,2999,Nival,12,53
235800.0,235800,83,444,Dylan Fitterer,44,129,Audiosurf 2,548,273406,16083,13114,3523,253860,15498,3469,1499,Dylan Fitterer,61,86
236110.0,236110,363,861,Trendy Entertainment,86,118,Dungeon Defenders II,3289,3341496,56048,29691,5301,2496286,48486,9633,0,Trendy Entertainment,34,74
